Open,High,Low,Close,Volume
24.778674738802675,24.789797903918426,23.879977645896325,24.3204288482666,212818400
24.08908597636393,24.16916802993291,23.44843124496915,23.63528823852539,257142000
23.699794044154206,23.89777416479279,23.27491425227713,23.637508392333984,263188400
23.846609873223667,24.06905959852298,23.73538501057401,23.968957901000977,160423600
24.298188530976255,24.947741436209547,24.180288730141065,24.889904022216797,237458000
25.063413321130795,25.192434585486712,24.51618713114462,24.916597366333008,214798000
25.0478395502696,25.05451277070223,24.202531584719402,24.30263328552246,198603200
24.78757370102578,25.092330444797703,24.227001123216635,24.518409729003906,268367600
24.255921687880374,24.57847315641415,24.135798615535922,24.424983978271484,195826400
24.46947138694922,24.482817828251918,23.726490070380766,23.762081146240234,240056000
23.808793902588967,23.931141930753473,23.401710496685297,23.57744598388672,314053200
23.988983176267695,24.240352510869247,23.690901289235732,24.18474006652832,199599600
24.235894512341634,24.705263522399985,24.08462864610733,24.369365692138672,194303600
24.52732012809655,25.018934076740305,24.407197009395357,25.00336265563965,215185600
24.981109805942747,25.303661293012837,24.80982253293594,25.132375717163086,185859200
25.301431026222534,25.43935046549932,25.092329440607884,25.1590633392334,222460000
25.007798768198853,25.02114690634776,24.253694303322035,24.27816390991211,382274800
26.166769739578537,26.275771365100383,25.650686264038086,25.650686264038086,585908400
25.87536079829958,26.513792338488326,25.706298474244946,26.449281692504883,337745600
26.33805111644964,26.693970382113093,25.99325332015124,26.062213897705078,334982000
26.260195893258587,26.50933854820576,25.82196957705137,26.38921546936035,250956400
26.360297509087918,26.491542057577952,26.16231735133231,26.393665313720703,207662800
26.360299807261427,26.80742435514557,26.318033804564546,26.59609603881836,280598800
26.80378792396723,26.850688237069605,26.63182635672692,26.78592300415039,168984800
26.80378437331176,26.8551504836002,26.453160023509593,26.56035804748535,174826400
26.475494842079126,26.76358602482178,26.448694909423025,26.736787796020508,155559200
26.83728664158094,27.27947619347403,26.83505459157774,27.250442504882812,248034000
27.41794048872167,27.89809537590141,27.35764276049682,27.889162063598633,294247200
28.152682532032056,28.469809084535157,28.0432524624839,28.242013931274414,297898000
28.42515039471504,28.42515039471504,28.061126844151374,28.38048553466797,217088800
28.47204705336743,28.782474113637615,28.344750336735732,28.5479793548584,252609600
28.503310383478674,28.760137549027505,28.4631113340549,28.74673843383789,179566800
28.69314288746139,28.8159738080515,28.659645094441533,28.686443328857422,149449600
28.724403333073504,28.92093276977539,28.597108335362325,28.92093276977539,195793600
29.037067738780927,29.70258331298828,28.956669632602775,29.70258331298828,283896400
29.689182814051748,29.836579903132932,29.293891859774032,29.51721954345703,276912400
29.380983859972854,29.38991887391649,28.61943578747261,28.762365341186523,298846800
28.762361545749737,29.22688338594971,28.275508989056128,29.126386642456055,365150000
29.032601910852616,29.15990033954733,28.639546373296806,28.688678741455078,248059200
28.86510565639036,29.095132918211306,28.652945019761663,28.82937240600586,192386800
28.80033970757226,28.925402665724054,28.60604230471284,28.88966941833496,151265200
28.831603604573328,28.934332424614354,28.657408294321318,28.7065372467041,126665200
28.71546889121583,28.753434181792876,28.085685002922208,28.23084831237793,226068400
28.675271793047767,28.89189990804343,28.19735241394222,28.273283004760742,291368400
28.577013311219282,28.936572761262916,27.9293626172482,28.393884658813477,354114000
28.230850996391403,28.411745860101902,27.647965653485496,27.806528091430664,275426400
27.860124880470842,27.864590683861785,27.2705400092887,27.299571990966797,275756000
27.315202246928813,27.89362170240178,27.163339388335004,27.793123245239258,193450800
27.78196316508045,28.005290840517024,27.375506863940092,27.60106658935547,207309200
27.66583412848828,27.904794692993164,27.440274384249296,27.904794692993164,143497200
28.11695617904442,28.434081086166454,28.061124257205115,28.371549606323242,204092400
28.362618342615455,28.84500699999388,28.22192250280766,28.69091033935547,261083600
28.75343707963532,28.865100912954293,28.45194507044507,28.47427749633789,183238000
28.64177450230927,28.675272290689996,27.95169279998705,28.116954803466797,274780400
28.389418612509715,28.55244688380203,28.255420625767034,28.409517288208008,150838800
28.413981704634534,28.594874877800912,28.264350862901242,28.293384552001953,131369200
28.259879123223104,28.322410588375078,27.554162979125977,27.554162979125977,206620800
27.415708944424075,27.889162578221786,27.37997569455361,27.746232986450195,190291600
27.819925565676716,27.848957547074246,27.44920254903883,27.52513313293457,158184800
27.703801727530387,28.228621479125927,27.692634661044366,28.221921920776367,188398800
28.159386934583193,28.248718349198064,27.773030994367268,27.788663864135742,168362400
27.87576321147474,27.942762202453487,27.49163929808752,27.74846649169922,162485600
27.92265581279033,28.04101919469861,27.735061404600927,27.9874210357666,128880400
27.79759192090687,28.4765081582352,27.766326187280637,28.44077491760254,148776000
28.505546891149116,28.612743230731876,28.13482380296402,28.141523361206055,140049200
28.105789197397314,28.22862010735405,27.909261445321576,28.049957275390625,149316800
28.105790337990708,28.26882030656257,27.840031537075223,28.264352798461914,129936000
28.128121549163314,28.40951491239349,27.974026603464083,28.38494873046875,160752000
28.66857029621765,28.713238553875073,28.275514845883464,28.329113006591797,145460400
28.362619918312927,28.427385160384304,28.11919352584092,28.20629119873047,102098400
28.23085403727682,28.39164854242009,28.141522620738304,28.31348419189453,115881600
28.201821813915277,28.38495046060868,28.163856513664786,28.177255630493164,113476000
28.03878931074127,28.170551816596443,27.79536126738247,27.860126495361328,207828000
28.043251985369725,28.612736451123215,27.953920587647207,28.496606826782227,188217200
28.608272572451273,28.630603292235747,28.28891226937762,28.342512130737305,129740400
28.36037613190324,28.780231475873524,28.21074702411036,28.72439956665039,150618000
28.652936952650087,29.126390459959783,28.61720371232613,28.958894729614258,183083600
29.142029323860005,29.173295061822373,28.86063427448883,29.095129013061523,178103600
29.548478145662443,29.731608437749635,29.28941727731387,29.624408721923828,387816800
30.02863947275252,30.046502687249728,28.936567322211797,29.15765953063965,475696000
29.0683313231756,29.387688266320986,28.65294170668969,28.728872299194336,253544400
28.728870229886088,28.728870229886088,27.82216046971891,27.9494571685791,332781600
28.16161606201944,29.061627914377524,27.982954965995784,28.798099517822266,234050400
28.92093232774315,29.159894562599675,28.644004799142163,28.74226951599121,203953200
28.61944546883102,28.686444465235194,28.090159871888012,28.094627380371094,197085600
28.264346837614443,28.306779636346235,27.549699039185473,27.918190002441406,288564000
27.980979129928542,28.274761520017556,27.812783771171894,28.09086799621582,175763600
28.409317512042954,28.6201229095459,28.281489107614323,28.6201229095459,222201600
