Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2010-02-04,216.80714416503906,220.46217052876312,215.3299540083567,220.0158908313365,6176408
2010-02-05,209.99246215820312,214.07592173363793,207.87710057240793,213.35740700205486,13544872
2010-02-08,214.53562927246094,217.96304934177715,209.26059344053914,211.97396584616402,9252480
2010-02-09,220.8013153076172,221.53320954663053,213.70100199718783,214.57124728045923,10387392
2010-02-10,220.18995666503906,222.80069314527975,218.49856080783587,222.33656657365978,7187984
2010-02-11,223.00148010253906,224.75981761384898,220.462153182183,220.72992097957027,6453888
2010-02-15,223.0193634033203,226.9243110871647,220.8950892961111,223.76465927766657,8950128
2010-02-16,226.83950805664062,227.6919066557513,222.0910963293505,223.1398536414654,4418096
2010-02-17,224.8045196533203,229.06649183272367,224.35379447867012,227.6205496085933,7991184
2010-02-18,226.143310546875,227.33488609853893,224.21092810346673,225.19274347334655,3721696
2010-02-19,226.03179931640625,227.11180522014016,223.59957424576413,225.36237957219282,5998992
2010-02-22,229.2405242919922,231.32463761709835,228.05788297310008,228.05788297310008,5855400
2010-02-23,230.39634704589844,231.08361338025472,228.0489116209157,228.32561373301996,3786032
2010-02-24,229.95005798339844,231.91368845335703,227.6918785847463,229.2092294024416,5427016
2010-02-25,233.61402893066406,234.71632664737845,229.44131399188367,229.44131399188367,8729568
2010-02-26,232.23941040039062,234.74304303122275,230.46769366351543,233.7612280223469,10546368
2010-03-02,235.7249298095703,236.59517519603125,234.08707464788222,234.88146556243132,8534656
2010-03-03,237.9785919189453,238.89346508056528,234.97958435079775,236.6263734745102,5904976
2010-03-04,234.18971252441406,237.77779653738665,232.42244075951757,237.59928467812435,6755240
2010-03-05,235.2519073486328,235.63571229883544,233.23026876065228,235.091242277501,4984808
2010-03-08,237.38059997558594,239.14787165089703,235.4660647402478,236.7959693079379,8664992
2010-03-09,239.5584259033203,241.12487168222032,233.65862257288586,236.5326588840064,7958752
2010-03-10,237.3538818359375,240.22791902897018,236.5282643095739,238.75072871819467,7330952
2010-03-11,239.46920776367188,240.54474614452175,236.52822904748894,237.86706807983322,4298424
2010-03-12,238.60342407226562,241.34804402558916,237.0905403586335,240.9820859820796,3176920
2010-03-15,241.10255432128906,242.10668342304365,235.27860553111265,236.92090574558387,10582856
2010-03-16,243.87850952148438,245.00312144373237,239.41124475912804,240.9910707536456,5881344
2010-03-17,244.40948486328125,245.7840172854647,242.1513057774122,244.11493597538606,6352000
2010-03-18,248.8098907470703,249.37218578979994,244.5612988822045,244.5612988822045,8923048
2010-03-19,247.4486541748047,249.47029201083768,246.350802019921,248.1403875426344,12582544
2010-03-22,246.1143341064453,247.86375934541377,244.82012290352543,245.64129503059362,4108528
2010-03-23,247.7297821044922,249.82729602250896,246.71671879364817,247.2433417455339,4792560
2010-03-25,251.16175842285156,256.16455842556513,245.52972144983835,247.32821999903868,15207528
2010-03-26,247.6718292236328,252.14800545360436,246.61413772329516,251.34470207339817,9105680
2010-03-29,242.4770965576172,247.23890880644333,241.01330812440384,246.16783772136125,13981704
2010-03-30,236.0016632080078,242.32990126875376,234.79670789783168,242.32990126875376,10649936
2010-03-31,233.4890899658203,238.91138874071441,232.6545599367962,236.87634879292398,13070104
2010-04-01,238.3534393310547,239.02732580644482,233.8504830518616,233.86832987557526,8187000
2010-04-05,239.02291870117188,240.09845703979155,235.4571485765688,239.11664178795596,7318616
2010-04-06,236.63983154296875,239.65221978043226,236.10429585630854,239.38445193710217,5348808
2010-04-07,235.97035217285156,238.74175300763432,233.61844982817664,237.02357644807785,8380880
2010-04-08,237.7555389404297,239.01850192783195,234.7431506009686,235.63571010895708,7227984
2010-04-09,238.8667755126953,240.78577848976138,237.8671132037733,238.3133929658817,8260312
2010-04-12,239.48263549804688,240.81254036632285,236.71123403889226,239.73253471202997,8325648
2010-04-13,248.30116271972656,249.3677889446032,235.1894700507571,240.09854817325868,57635400
2010-04-15,250.05947875976562,252.12127813447884,246.2839477086629,248.84558912082363,22395128
2010-04-16,248.8990936279297,250.71990587265606,247.33264770758507,249.21148938106398,6244344
2010-04-19,245.62342834472656,247.6540011101398,244.2042675239816,247.6540011101398,8754896
2010-04-20,243.42770385742188,249.01957919251154,242.77613120591218,246.83727604777576,9542128
2010-04-21,242.10235595703125,245.43160805795938,241.01790461782815,244.82913024928905,6496288
2010-04-22,242.63339233398438,246.6008371787555,240.36629967212014,241.70513906873427,6978144
2010-04-23,243.39645385742188,245.78404998396175,242.4949820393835,244.11496845183265,5888336
2010-04-26,244.467529296875,245.8108354245517,243.2268805650533,243.67762737746298,4454288
2010-04-27,244.3336639404297,244.7754764768133,243.34738146401742,243.58838993022718,3280256
2010-04-28,240.94644165039062,243.8427929252905,240.1967003723994,241.89256345495448,5544496
2010-04-29,241.80780029296875,243.92762956191754,238.7597176605467,240.9018609218002,11319960
2010-04-30,244.3961181640625,246.23926620938343,238.9470610224035,242.0620842904198,8067024
2010-05-03,240.5358428955078,242.32542899136791,239.38444989540972,241.70510451781115,5408952
2010-05-04,237.9697723388672,241.52663111061256,237.01920506808264,241.43737514937436,6576208
2010-05-05,240.36618041992188,241.7050191523017,232.95793943408694,236.47461378807324,12122080
2010-05-06,237.2556610107422,240.1252524694545,236.13104927539487,240.1252524694545,7808360
2010-05-07,233.56944274902344,236.11323733791073,232.69473007604745,235.466131696878,8984392
2010-05-10,238.8220977783203,239.54507955870554,233.85054662244755,233.85054662244755,5635408
2010-05-11,237.4876708984375,238.7149397041703,235.27858704811848,238.29544127059143,5802824
2010-05-12,239.35765075683594,240.89284857187607,236.72906767306358,237.0637774492061,9185176
2010-05-13,241.54002380371094,243.04399554801842,237.53243964456996,239.56301287215624,4923880
2010-05-14,236.69778442382812,243.40091326724223,234.7430883362109,241.88356250613364,6824496
2010-05-17,233.5248565673828,236.354266346004,229.92783676079156,235.18947162548275,8170824
2010-05-18,234.6717529296875,237.42084070659638,230.4633433606322,237.42084070659638,7144600
2010-05-19,232.31988525390625,236.73805529390333,231.48086615150524,234.38615202085603,11939240
2010-05-20,232.13238525390625,235.14924037499486,230.86048811274767,233.13651457587355,6508872
2010-05-21,230.43655395507812,232.77952269384866,228.34797339577568,229.20928461572214,7127200
2010-05-24,232.10110473632812,234.74308890196613,230.21335058950424,233.04722628252227,7186104
2010-05-25,226.1210479736328,230.89179662933316,224.04140146830048,230.89179662933316,8838128
2010-05-26,235.33766174316406,237.03014390410246,229.51942413306116,230.3095589553102,7868856
2010-05-27,237.33998107910156,239.194085624654,233.00773084209348,235.94377998643563,11312696
2010-05-28,240.40171813964844,241.0257373494096,236.79675607402623,239.7372989086841,6793992
2010-05-31,238.65533447265625,245.5689765924435,235.65194497490688,245.5689765924435,7020752
2010-06-01,235.634033203125,238.61048257111275,235.02796706677316,238.38601363172316,5782888
2010-06-02,237.06161499023438,238.1121251010616,235.6115546052163,236.59023028094597,6557144
2010-06-03,242.2468719482422,242.9472194017844,238.83494417432328,238.83494417432328,5517096
2010-06-04,245.02578735351562,245.8383692547509,240.85066530444846,242.24686641684363,4950400
2010-06-07,239.88096618652344,243.32432845904967,237.93707395442124,243.32432845904967,7781952
2010-06-08,238.34104919433594,241.43871963969463,237.74397076086476,239.88089689378586,6651144
2010-06-09,235.6878662109375,239.55322529865944,234.92916566489595,239.55322529865944,5427120
2010-06-10,237.5375213623047,238.29622198030614,235.29283200680067,235.7103354586066,5187448
2010-06-11,236.2086639404297,241.6093778314359,235.33323508043952,239.27490087146205,9912864
2010-06-14,246.592529296875,247.7104018797168,237.94600539173635,237.94600539173635,9728848
2010-06-15,245.54202270507812,249.60940333787119,244.41071266256745,246.6015202400947,7946312
2010-06-16,248.6576690673828,249.56453222514872,246.1974986009562,247.3557493993617,5720064
